title,company,location,experience,salary,url,tags,source
Associate - Data Science,Analytics Vidhya,Bengaluru / Bangalore,2 - 5 yrs,,https://www.timesjobs.com/job-detail/associate-data-science-analytics-vidhya-bengaluru-bangalore-2-to-5-yrs-jobid-dRZQPWIZGpJzpSvf__PLUS__uAgZw==&source=srp,"visualization , data analytics , sas , spss , tableau , data science , data scientist , software development methodologies",Timesjobs
Head Data Science,SEVEN CONSULTANCY,Bengaluru / Bangalore,2 - 3 yrs,,https://www.timesjobs.com/job-detail/head-data-science-seven-consultancy-bengaluru-bangalore-2-to-3-yrs-jobid-xwgfYz0pIYdzpSvf__PLUS__uAgZw==&source=srp,"data analytics , big data analytics , consulting , data science",Timesjobs
Data Science Director,SEVEN CONSULTANCY,Bengaluru / Bangalore,0 - 3 yrs,,https://www.timesjobs.com/job-detail/data-science-director-seven-consultancy-bengaluru-bangalore-0-to-3-yrs-jobid-z__SLASH__5z__SLASH__mgkg7xzpSvf__PLUS__uAgZw==&source=srp,"data analytics , big data analytics , director , consulting , data science",Timesjobs
Associate - Data Science,Analytics Vidhya,Bengaluru / Bangalore,2 - 5 yrs,,https://www.timesjobs.com/job-detail/associate-data-science-analytics-vidhya-bengaluru-bangalore-2-to-5-yrs-jobid-IooNJO4nbU5zpSvf__PLUS__uAgZw==&source=srp,"visualization , data analytics , sas , spss , tableau , data science , data scientist , software development methodologies",Timesjobs
Analyst - Data Science,NUWARE SYSTEMS PVT LTD,Bengaluru / Bangalore,3 - 6 yrs,,https://www.timesjobs.com/job-detail/analyst-data-science-nuware-systems-pvt-ltd-bengaluru-bangalore-3-to-6-yrs-jobid-ZELm33tOr1RzpSvf__PLUS__uAgZw==&source=srp,"python , rdbms , data mining , machine learning , sql , senior software developer , software developer",Timesjobs
Analyst - Data Science,NUWARE SYSTEMS PVT LTD,Bengaluru / Bangalore,3 - 6 yrs,,https://www.timesjobs.com/job-detail/analyst-data-science-nuware-systems-pvt-ltd-bengaluru-bangalore-3-to-6-yrs-jobid-5EgPDddEK6VzpSvf__PLUS__uAgZw==&source=srp,"python , rdbms , data mining , machine learning , sql , senior software developer , software developer",Timesjobs
Analyst - Data Science,NUWARE SYSTEMS PVT LTD,Bengaluru / Bangalore,3 - 6 yrs,,https://www.timesjobs.com/job-detail/analyst-data-science-nuware-systems-pvt-ltd-bengaluru-bangalore-3-to-6-yrs-jobid-bJj4CCNX5vlzpSvf__PLUS__uAgZw==&source=srp,"python , rdbms , data mining , machine learning , sql , senior software developer , software developer",Timesjobs
Data Science Manager,SEVEN CONSULTANCY,Bengaluru / Bangalore,2 - 3 yrs,,https://www.timesjobs.com/job-detail/data-science-manager-seven-consultancy-bengaluru-bangalore-2-to-3-yrs-jobid-xrRDt5QFy6JzpSvf__PLUS__uAgZw==&source=srp,"fundamentals , python , machine learning , apache , infrastructure , oops",Timesjobs
"Business Intelligence Engineer , Ring Data Science and Engineering",AMAZON INDIA PVT LTD,Bengaluru / Bangalore,2 - 5 yrs,,https://www.timesjobs.com/job-detail/business-intelligence-engineer-ring-data-science-and-engineering-amazon-india-pvt-ltd-bengaluru-bangalore-2-to-5-yrs-jobid-rCoS__PLUS__F63hAhzpSvf__PLUS__uAgZw==&source=srp,"data analysis , statistical modeling , dashboard creation , problem solving , communication skills , visualization , business requirements , bi , dashboards , database , , business analysis , infrastructure",Timesjobs
USCA - C10 - Data Science at Citi,Citibank India,"Chennai, Mumbai, Bengaluru / Bangalore, Pune",2 - 4 yrs,,https://www.timesjobs.com/job-detail/usca-c10-data-science-at-citi-citibank-india-chennai-mumbai-bengaluru-bangalore-pune-2-to-4-yrs-jobid-tYCOtrHoc65zpSvf__PLUS__uAgZw==&source=srp,"data analytics , machine learning , deep learning , statistical modeling , communication skills , business requirements , information technology , use cases , domain expert , predictive modeling , sql , , visualization , analysis , information management , analyst , statistical analysis",Timesjobs
"Data Scientist , AWS Support Strategy Analytics and Data Science , Support Engineering",AMAZON INDIA PVT LTD,Bengaluru / Bangalore,3 - 9 yrs,,https://www.timesjobs.com/job-detail/data-scientist-aws-support-strategy-analytics-and-data-science-support-engineering-amazon-india-pvt-ltd-bengaluru-bangalore-3-to-9-yrs-jobid-vHMvOCFnJY5zpSvf__PLUS__uAgZw==&source=srp,"analytics , predictive modeling , optimization algorithms , data science , machine learning , storage , artificial intelligence , security , cloud computing , python",Timesjobs
