,title,company,location,experience,salary,url,tags,source,index
37,Data Analyst,Annalect India,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-analyst-at-annalect-india-3957845224?position=29&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=JvlhM%2B666TAWXhNh3fDS3Q%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,38
38,Business Analyst,apna,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/business-analyst-at-apna-3951181441?position=30&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=0Lg4myj9Xo0fYKdZ3W0MSQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,39
39,Data Scientist,Valiance Solutions,"Bangalore Urban, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-valiance-solutions-3772513738?position=31&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=aFuNwQcItpmltoF6j0KQug%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,40
40,Business Analyst,Brick & Bolt,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/business-analyst-at-brick-bolt-3962955585?position=32&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=qDitZTNt3%2BAw%2FPH8nzA4ZQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,41
41,Data Scientist,ConsultBae Jobs,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-consultbae-jobs-3943938522?position=33&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=dAvktb3yE20fE7hNuqJ3MQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,42
42,Strategy and Data - Founder's Office,BharatX,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/strategy-and-data-founder-s-office-at-bharatx-3891676415?position=34&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=YvK5lf8R0Hp9qxFtJ1Re1Q%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,43
43,Data Scientist,Obviously AI,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-obviously-ai-3963750222?position=35&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=cIGd6DujMvzvET5mT46npQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,44
44,AI & IOT (AIML),Digi Digital Placement,"Bagalur, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/ai-iot-aiml-at-digi-digital-placement-3634528009?position=36&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=ZB8B7oH0QLSc694pp7JT%2BQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,45
45,Data Scientist,UNPlus Solutions,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-unplus-solutions-3932437812?position=37&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=LEIbV%2BIHDQzBiMSX9w9rWg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,46
46,Social Media Manager,PhonePe,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/social-media-manager-at-phonepe-3921057417?position=38&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=mYeXdwJWHSzI%2FNK%2BtCW5vg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,47
